earlier_rule	later_rule	commute
PNWGmcLongELowering	PWGmcDentalHardening	yes
PNWGmcLongELowering	EAFFinalZDeletion	no
PNWGmcLongELowering	PWGmcUnstressedWordFinalIApocope	yes
PNWGmcLongELowering	PWGmcFinalBareALoss	yes
PNWGmcLongELowering	PWGmcSurvivingBimoricOUnrounding	yes
PNWGmcLongELowering	SieversLawSyncope	yes
PNWGmcLongENasalRounding	PWGmcEarlyIApocope	yes
PNWGmcLongENasalRounding	PWGmcFinalOrLowering	yes
PNWGmcLongENasalRounding	PWGmcCoronalWAssimilation	yes
PNWGmcLongENasalRounding	PWGmcIjContraction	no
PNWGmcLongENasalRounding	PWGmcJGemination	yes
PNWGmcLongENasalRounding	PWGmcSyllabicJ	yes
PNWGmcLongENasalRounding	PWGmcDentalHardening	yes
PNWGmcLongENasalRounding	EAFFinalZDeletion	yes
PNWGmcLongENasalRounding	PWGmcUnstressedWordFinalIApocope	yes
PNWGmcLongENasalRounding	PWGmcFinalBareALoss	yes
PNWGmcLongENasalRounding	PWGmcSurvivingBimoricOUnrounding	yes
PNWGmcLongENasalRounding	SieversLawSyncope	yes
PNWGmcPreconsonantalXLoss	PWGmcEarlyIApocope	no
PNWGmcPreconsonantalXLoss	PWGmcFinalOrLowering	yes
PNWGmcPreconsonantalXLoss	PWGmcCoronalWAssimilation	yes
PNWGmcPreconsonantalXLoss	PWGmcIjContraction	yes
PNWGmcPreconsonantalXLoss	PWGmcJGemination	no
PNWGmcPreconsonantalXLoss	PWGmcSyllabicJ	no
PNWGmcPreconsonantalXLoss	PWGmcDentalHardening	yes
PNWGmcPreconsonantalXLoss	EAFFinalZDeletion	no
PNWGmcPreconsonantalXLoss	PWGmcUnstressedWordFinalIApocope	yes
PNWGmcPreconsonantalXLoss	PWGmcFinalBareALoss	yes
PNWGmcPreconsonantalXLoss	PWGmcSurvivingBimoricOUnrounding	yes
PNWGmcPreconsonantalXLoss	SieversLawSyncope	no
NWGmcInStemNLoss	PWGmcEarlyIApocope	no
NWGmcInStemNLoss	PWGmcFinalOrLowering	yes
NWGmcInStemNLoss	PWGmcCoronalWAssimilation	yes
NWGmcInStemNLoss	PWGmcIjContraction	yes
NWGmcInStemNLoss	PWGmcJGemination	yes
NWGmcInStemNLoss	PWGmcSyllabicJ	yes
NWGmcInStemNLoss	PWGmcDentalHardening	yes
NWGmcInStemNLoss	EAFFinalZDeletion	yes
NWGmcInStemNLoss	PWGmcUnstressedWordFinalIApocope	yes
NWGmcInStemNLoss	PWGmcFinalBareALoss	no
NWGmcInStemNLoss	PWGmcSurvivingBimoricOUnrounding	yes
NWGmcInStemNLoss	SieversLawSyncope	yes
