ID	DOCULECT	CONCEPT	COGIDS	GLOSSID	IPA	TOKENS	PROTOSTEM	PROTOFORM	COUNTERPART	NOTE
64	Old_Irish	judgement	16	23	brāθ	b r ā θ	*brātu-	*brātus	bráth
65	Old_Welsh	judgement	16	23	braut	b r a u t	*brātu-	*brātus	braut
66	Middle_Breton	debate	16	24	breut	b r e u t	*brātu- 	*brātus	breut
67	Middle_Cornish	judgement	16	23	bres	b r e s	*brātu-	*brātus	bres
68	Gaulish	judgment	16	25	brat	b r a t 	*brātu-	*brātus 	brat-	Only attested in dedication Bratou dekantem
69	Old_Irish	assembly	17	26	dāl	d ā l	*datla-	*datlā	dál
70	Middle_Welsh	assembly	17	26	dadl	d a d l	*datla-	*datlā	dadl
71	Old_Breton	assembly	17	26	dadl	d a d l	*datla-	*datlā	dadl
72	Old_Irish	God	18	27	dīa	d ī a	*deiw-	*deiwos	día
73	Old_Welsh	God	18	27	diui	d i u i	*deiw-	*deiwos	duiu
74	Middle_Breton	God	18	27	doe	d o e	*deiw-	*deiwos	doe
75	Old_Cornish	God	18	27	dui	d u i	*deiw-	*deiwos	duy
76	Gaulish	God	18	27	deuo	d e u o	*deiw-	*deiwos 	deuo	Only attested in Deity name Deuognata
77	Celtiberian	God	18	27	teiuo	t e i u o	*deiw-	*deiwos 	teiuo	Only attested in Deity name Teiuoreikis
78	Old_Irish	bad	19	28	drox	d r o x	*druko-	*drukos	droch
79	Middle_Welsh	bad	19	28	drug	d r u g	*druko-	*drukos	drwg
80	Middle_Breton	bad	19	28	druk	d r u k	*druko-	*drukos	drouk
81	Gaulish	bad	19	28	druk	d r u k	*druko-	*drukos 	druca	Only attested in Proper Noun druka
82	Old_Irish	fort	20	29	dūn	d ū n	*dūno-	*dūnom	dún
83	Middle_Welsh	fort	20	29	din	d i n	*dūno-	*dūnom	din
84	Old_Breton	fort	20	29	din	d i n	*dūno-	*dūnom	din
85	Middle_Cornish	fort	20	29	din	d i n	*dūno-	*dūnom	dyn
86	Gaulish	fort	20	29	dunum	d u n u m	*dūno-	*dūnom	dunum
87	Old_Irish	horse	21	30	ex	e x	*ekʷo-	*ekʷos	ech
88	Old_Welsh	horse	21	30	eb	e b	*ekʷo-	*ekʷos	ebawl
89	Old_Breton	horse	21	30	eb	e b	*ekʷo-	*ekʷos	eb
90	Gaulish	horse	21	31	epos	e p o s	*ekʷo-	*ekʷos 	epos	Attested as Proper Noun
91	Celtiberian	horse	21	32	ekua	e k u a	*ekʷo-	*ekʷos 	ekua	Attested from Proper Noun Ekualaku
92	Old_Irish	salmon	22	33	ēo	ē o	*esok-	*esoxs	eó
93	Middle_Welsh	salmon	22	33	eok	e o k	*esok-	*esoxs	ehawc
94	Middle_Breton	salmon	22	33	euk	e u k	*esok-	*esoxs	eheuc
95	Old_Cornish	salmon	22	33	ehok	e h o k	*esok-	*esoxs	ehoc
96	Gaulish	salmon	22	33	esox	e s o x	*esok-	*esoxs	esoks
97	Old_Irish	bird	23	35	ēn	ē n	*ɸetno-	*ɸetnos	én
98	Middle_Welsh	bird	23	35	edn	e d n	*ɸetno-	*ɸetnos	edn
99	Middle_Breton	bird	23	35	ezn	e z n	*ɸetno-	*ɸetnos	ezn
100	Gaulish	bird	24	36	etnos	e t n o s	*ɸetno-	*ɸetnos 	etnos	Only Attested in Deity name Etnosus
101	Old_Irish	hand	25	37	lāv	l ā v	*ɸlāma-	*ɸlāmā	lám
102	Old_Welsh	hand	25	37	lau	l a u	*ɸlāma-	*ɸlāmā	lau
103	Old_Cornish	hand	25	37	lof	l o f	*ɸlāma-	*ɸlāmā	lof
104	Gaulish	hand	25	38	lama	l a m a	*ɸlāma-	*ɸlāmā	lama	Only attested in Proper Noun Lamatutus
105	Old_Irish	fern	26	39	rāθ	r ā θ	*ɸrati-	*ɸratis	ráth
106	Middle_Breton	fern	26	39	reden	r e d e n	*ɸrati-	*ɸratis	reden
107 	Old_Cornish	fern	26	39	reden	r e d e n	*ɸrati-	*ɸratis	reden
108 	Gaulish	fern	26	39	ratis	r a t i s	*ɸrati-	*ɸratis	ratis
109 	Old_Irish	goat	27	40	gavor	g a v o r	*gabro-	*gabros	gabor
110	Middle_Welsh	goat	27	40	gauar	g a u a r	*gabro-	*gabros	gauar
111	Old_Breton	goat	27	40	gabr	g a b r	*gabro-	*gabros	gabr
112	Old_Cornish	goat	27	40	gauar	g a u a r	*gabro-	*gabros	gauar
113	Gaulish	goat	27	41	gabro	g a b r o	*gabro-	*gabros 	grabo	Attested in place name Gabromagus (goat field)
114	Old_Irish	person	28	42	dune	d u n e	*gdony-	*gdonyos	duine
115	Middle_Welsh	person	28	42	din	d i n	*gdony-	*gdonyos	dyn
116	Old_Breton	person	28	42	den	d e n 	*gdony-	*gdonyos	den
117	Old_Cornish	person	28	42	den	d e n 	*gdony-	*gdonyos	den
118	Gaulish	person	28	43	kstonio	k s t o n i o 	*gdony-	*gdonyos 	-xtonio
119	Old_Irish	grain	29	44	grān	g r ā n	*grāno-	*grānom	grán
120	Middle_Welsh	grain	29	44	graun	g r a u n	*grāno-	*grānom	grawn
121	Old_Irish	iron	30	45	iərn 	i ə r n	*isarno-	*isarnom	iarn
122	Middle_Welsh	iron	30	45	heiarn	h e i a r n	*isarno-	*isarnom	haearn
123	Middle_Breton	iron	30	45	hoiarn	h o i a r n	*isarno-	*isarnom	hoiarn
124	Gaulish	iron	30	46	isarnus	i s a r n u s	*isarno-	*isarnom	isarnus	Only attested as PN
125	Old_Irish	everyone	31	47	kāx	k ā x	*kʷākʷo-	*kʷākʷos	cách
126	Old_Welsh	everyone	31	47	paup	p a u p	*kʷākʷo-	*kʷākʷos	paup
127	Old_Breton	everyone	31	47	pop	p o p	*kʷākʷo-	*kʷākʷos	pop
128	Old_Irish	five	32	48	kōig	k ō i g	*kʷenkʷe	*kʷenkʷe	cóic
129	Old_Welsh	five	32	48	pimp	p i m p	*kʷenkʷe	*kʷenkʷe	pimp
130	Old_Breton	five	32	48	pemp	p e m p	*kʷenkʷe	*kʷenkʷe	pemp
131	Gaulish	five	32	48	pempe	p e m p e	*kʷenkʷe	*kʷenkʷe 	pempe-
132	Old_Irish	four	33	49	keθir	k e θ i r	*kʷetwores	*kʷetwores	cethair
133	Old_Welsh	four	33	49	petguar	p e t g u a r	*kʷetwores	*kʷetwores	petguar
134	Old_Breton	four	33	49	petguar	p e t g u a r	*kʷetwores	*kʷetwores	petguar
