ID	TOKENS	PROTOFORM	ALIGNMENT	IPA	COUNTERPART	COGIDS	DOCULECT	NOTE	HISTORY	STRUCTURE	BORROWING	CONCEPT	PROTO	GLOSSID
362	f ɔː	*fedwōr	f ɔː ( - - - ) r ( - - )	fɔː	four	100	English					four	*fedwōr	90
2029	f ē o w e r	*fédwōr	f ɔː ( - - - ) r ( - - )	ˈfeːo̯.wer	fēower	100	Old_English		Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			four	*fedwōr	90
361	f iː r	*fedwōr	f iː ( - - - ) r ( - - )	fiːr	vier	100	German					four	*fedwōr	90
1834	v oː ɣ ə l	*fúglaz	v oː ɣ ə l ( - - )	voːɣəl	vogel	502	Dutch					fowl	*fúglaz	91
1833	f aʊ l	*fúglaz	f aʊ - - l ( - - )	faʊl	fowl	502	English					fowl	*fúglaz	91
2030	f u g o l	*fúglaz	f aʊ - - l ( - - )	faʊl	fugol	502	Old_English	DOCUMENTED EXCEPTION (per §17.10.34): Campbell §115 names fugol as exception to a-umlaut (regular outcome = **fogol, cf. OHG fogal). No lautgesetzlich PROTOFORM available: every paradigm cell with low *a/*ō triggers a-umlaut, every cell with high *i triggers i-umlaut; attested fugol is doubly irregular.				fowl	*fúglaz	91
1832	f oː ɡ ə l	*fúglaz	f oː ɡ ə l ( - - )	foːɡəl	Vogel	502	German					fowl	*fúglaz	91
342	v ɔ s	*fúxsaz	v ɔ - s ( - - )	vɔs	vos	94	Dutch					fox	*fúxsaz	92
341	f ɔ k s	*fúxsaz	f ɔ k s ( - - )	fɔks	fox	94	English					fox	*fúxsaz	92
2031	f o x	*fúxsaz	f ɔ k s ( - - )	fɔks	fox	94	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			fox	*fúxsaz	92
340	f ʊ k s	*fúxsaz	f ʊ k s ( - - )	fʊks	Fuchs	94	German					fox	*fúxsaz	92
926	v r iː z ə	*fréusaną	v r iː z ə - ( - - )	vriːzə	vriezen	254	Dutch					freeze	*fréusaną	93
925	f r iː z	*fréusaną	f r iː z - - ( - - )	friːz	freeze	254	English					freeze	*fréusaną	93
2032	f r ē o s a n	*fréusaną	f r iː z - - ( - - )	friːz	frēosan	254	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			freeze	*fréusaną	93
924	f r iː r ə n	*fréusaną	f r iː r ə n ( - - )	friːrən	frieren	254	German					freeze	*fréusaną	93
1692	v r iː n t	*frijōndz	v r iː ( - - ) n t ( - )	vriːnt	vriend	463	Dutch					friend	*frijōndz	94
1691	f r ɛ n d	*frijōndz	f r ɛ ( - - ) n d ( - )	frɛnd	friend	463	English					friend	*frijōndz	94
2033	f r ē o n d	*fríjōndz	f r ɛ ( - - ) n d ( - )	frɛnd	frēond	463	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			friend	*frijōndz	94
1690	f r ɔy n t	*frijōndz	f r ɔy ( - - ) n d ( - )	frɔynt	Freund	463	German					friend	*frijōndz	94
1482	f r aɪ t	*furxtiθō	f - r aɪ - t ( - - - )	fraɪt	fright	406	English	TSV fix: proto *furxtīn → *furxtiθō (PGmc *iθō-abstract from adj. *furhta-; R/T line 21553)				fright	*furxtiθō	338
2034	f y r h t u	*fúrxtiθō	f y r h t u	fyrxtu	fyrhtu	406	Old_English	PGmc *furhtiθō (*iθō-abstract, R/T §6.8) → fyrhtu by i-umlaut + medial syncope + dental assimilation + ō-shortening. Non-metathesized form (Campbell §459: r-metathesis is sporadic).	TSV fix: proto *furxtīn → *furxtiθō, target fryhtu → fyrhtu. | See docs/analysis/fryhtu_investigation.md			fright	*furxtiθō	338
1481	f ʊ r x t	*furxtiθō	f ʊ r - x t ( - - - )	fʊrxt	Furcht	406	German	TSV fix: proto *furxtīn → *furxtiθō (PGmc *iθō-abstract; OHG forhta < ō-stem *furhtō- but proto unified to *furhtiθō for cognate set)				fright	*furxtiθō	338
456	v ɔ r s t	*frústą	v - ɔ r s t ( - - )	vɔrst	vorst	125	Dutch					frost	*frústą	95
455	f r ɔ s t	*frústą	f r ɔ - s t ( - - )	frɔst	frost	125	English					frost	*frústą	95
2035	f o r s t	*frústą	f r ɔ - s t ( - - )	frɔst	forst	125	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			frost	*frústą	95
454	f r ɔ s t	*frústą	f r ɔ - s t ( - - )	frɔst	Frost	125	German					frost	*frústą	95
956	v oː r	*fúrx	v oː r ( - - )	voːr	voor	262	Dutch					furrow	*fúrx	96
955	f ʌ r əʊ	*fúrx	f ʌ r ( əʊ - )	fʌrəʊ	furrow	262	English					furrow	*fúrx	96
2036	f u r h	*fúrx	f ʌ r ( əʊ - )	fʌrəʊ	furh	262	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			furrow	*fúrx	96
954	f ʊ r x ə	*fúrx	f ʊ r ( x ə )	fʊrxə	Furche	262	German					furrow	*fúrx	96
748	x ɑ l	*gállą	x ɑ l - ( - )	xɑl	gal	205	Dutch					gall	*gállą	97
747	ɡ ɔː l	*gállą	ɡ ɔː l - ( - )	ɡɔːl	gall	205	English					gall	*gállą	97
2037	ġ e a l l a	*gállô	ɡ ɔː l - ( - )	ɡɔːl	ġealla	205	Old_English		Proto corrected: weak masc. n-stem *gallô (Kroonen 2013 s.v. *gallōn-, nom.sg. *gallô). OE ġealla is weak masc. TSV had *gallą (strong neut.); cognate set 205 includes German Galle (fem.) — different declension class.			gall	*gallô	97
746	ɡ a l ə	*gállą	ɡ a l ə ( - )	ɡalə	Galle	205	German					gall	*gállą	97
201	x ɑ ŋ	*gángaz	x ɑ ŋ - ( - - )	xɑŋ	gang	56	Dutch					gang	*gángaz	98
200	ɡ æ ŋ	*gángaz	ɡ æ ŋ - ( - - )	ɡæŋ	gang	56	English					gang	*gángaz	98
2038	g a n g	*gángaz	ɡ æ ŋ - ( - - )	ɡæŋ	gang	56	Old_English	PGmc *gangaz is a-stem noun > OE gang; cf. Dutch gang, German Gang				gang	*gángaz	98
199	ɡ a ŋ	*gángaz	ɡ a ŋ - ( - - )	ɡaŋ	Gang	56	German					gang	*gángaz	98
18	ɡ əʊ s t	*gáistaz	ɡ əʊ s t ( - - )	ɡəʊst	ghost	5	English					ghost	*gáistaz	339
2039	g ā s t	*gáistaz	ɡ əʊ s t ( - - )	ɡəʊst	gāst	5	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			ghost	*gáistaz	339
17	ɡ ai s t	*gáistaz	ɡ ai s t ( - - )	ɡaist	Geist	5	German					ghost	*gáistaz	339
621	x ɪ f t	*géftiz	x ɪ f t ( - - )	xɪft	gift	171	Dutch					gift	*géftiz	99
620	ɡ ɪ f t	*géftiz	ɡ ɪ f t ( - - )	ɡɪft	gift	171	English					gift	*géftiz	99
2040	ġ i f t	*géftiz	ɡ ɪ f t ( - - )	ɡɪft	ġift	171	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			gift	*géftiz	99
619	ɡ ɪ f t	*géftiz	ɡ ɪ f t ( - - )	ɡɪft	Gift	171	German					gift	*géftiz	99
752	x eː v ə	*gébaną	x eː v ə - ( - - )	xeːvə	geven	206	Dutch					give	*gébaną	100
751	ɡ ɪ v	*gébaną	ɡ ɪ v - - ( - - )	ɡɪv	give	206	English					give	*gébaną	100
2041	ġ i e f a n	*gébaną	ɡ ɪ v - - ( - - )	ɡɪv	ġiefan	206	Old_English	WS palatalized initial (R/T §6.4.1 rule 1: g before front vowel)	TSV: giefan → ġiefan;			give	*gébaną	100
750	ɡ eː b ə n	*gébaną	ɡ eː b ə n ( - - )	ɡeːbən	geben	206	German					give	*gébaną	100
1876	x ɔ t	*gúdą	x ɔ t	xɔt	god	514	Dutch					god	*gúdą	101
1875	ɡ ɔ d	*gúdą	ɡ ɔ d	ɡɔd	god	514	English					god	*gúdą	101
2042	g o d	*gúdą	ɡ ɔ d	ɡɔd	god	514	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			god	*gúdą	101
1874	ɡ ɔ t	*gúdą	ɡ ɔ t	ɡɔt	Gott	514	German					god	*gúdą	101
1089	x ɑu t	*gúlθą	x ɑu - t ( - - )	xɑut	goud	298	Dutch					gold	*gúlθą	102
1088	ɡ əʊ l d	*gúlθą	ɡ əʊ l d ( - - )	ɡəʊld	gold	298	English					gold	*gúlθą	102
2043	g o l d	*gúlθą	ɡ əʊ l d ( - - )	ɡəʊld	gold	298	Old_English	R/T §5.1.3 p.171: *gulθa-/*gulda- may reflect Verner's alternation or regular PWGmc *lθ→*ld; either gives OE gold				gold	*gúlθą	102
1087	ɡ ɔ l t	*gúlθą	ɡ ɔ l d ( - - )	ɡɔlt	Gold	298	German					gold	*gúlθą	102
1294	x ɑ n s	*gánsz	x ɑ n s ( - )	xɑns	gans	355	Dutch					goose	*gánsz	103
1293	ɡ uː s	*gánsz	ɡ uː - s ( - )	ɡuːs	goose	355	English					goose	*gánsz	103
2044	g ō s	*gánsz	ɡ uː - s ( - )	ɡuːs	gōs	355	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			goose	*gánsz	103
1292	ɡ a n s	*gánsz	ɡ a n s ( - )	ɡans	Gans	355	German					goose	*gánsz	103
791	x r ɑ s	*grásą	x r ɑ s ( - - )	xrɑs	gras	216	Dutch					grass	*grásą	104
790	ɡ r ɑː s	*grásą	ɡ r ɑː s ( - - )	ɡrɑːs	grass	216	English					grass	*grásą	104
2045	g r æ s	*grásą	ɡ r ɑː s ( - - )	ɣærˠs	græs	216	Old_English		Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			grass	*grásą	104
789	ɡ r aː s	*grásą	ɡ r aː s ( - - )	ɡraːs	Gras	216	German					grass	*grásą	104
134	x r aː v ə	*grábaną	x r aː v ə - ( - - )	xraːvə	graven	37	Dutch					grave	*grábaną	105
133	ɡ r ɑː v	*grábaną	ɡ r ɑː v - - ( - - )	ɡrɑːv	grave	37	English					grave	*grábaną	105
2046	g r a f a n	*grábaną	ɡ r ɑː v - - ( - - )	ɡrɑːv	grafan	37	Old_English	OE target: græf→græfan (inf. of str.v. class VI 'to dig, grave') | OE target: grafan (not græfan); Hogg §5.3.1, Hall s.v. grafan. Proto encoding: -aną for A-restoration; R/T §6.3.1				grave	*grábaną	105
132	ɡ r aː b ə n	*grábaną	ɡ r aː b ə n ( - - )	ɡraːbən	graben	37	German					grave	*grábaną	105
243	x r ɛɪ p ə	*grīpaną	x r ɛɪ p ə - ( - - )	xrɛɪpə	grijpen	67	Dutch					gripe	*grīpaną	106
242	ɡ r aɪ p	*grīpaną	ɡ r aɪ p - - ( - - )	ɡraɪp	gripe	67	English					gripe	*grīpaną	106
2047	g r ī p a n	*grīpaną	ɡ r aɪ p - - ( - - )	ɡraɪp	grīpan	67	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			gripe	*grīpaną	106
241	ɡ r ai f ə n	*grīpaną	ɡ r ai f ə n ( - - )	ɡraifən	greifen	67	German					gripe	*grīpaną	106
100	x r ɔ n t	*grúnduz	x r ɔ n t ( - - )	xrɔnt	grond	28	Dutch					ground	*grúnduz	107
99	ɡ r aʊ n d	*grúnduz	ɡ r aʊ n d ( - - )	ɡraʊnd	ground	28	English					ground	*grúnduz	107
2048	g r u n d	*grúnduz	ɡ r aʊ n d ( - - )	ɡraʊnd	grund	28	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			ground	*grúnduz	107
98	ɡ r ʊ n t	*grúnduz	ɡ r ʊ n d ( - - )	ɡrʊnt	Grund	28	German					ground	*grúnduz	107
1616	x ɑ s t	*gástiz	x ɑ s t ( - - )	xɑst	gast	443	Dutch					guest	*gástiz	108
1615	ɡ ɛ s t	*gástiz	ɡ ɛ s t ( - - )	ɡɛst	guest	443	English					guest	*gástiz	108
2049	ġ i e s t	*gástiz	ɡ ɛ s t ( - - )	ɡɛst	ġiest	443	Old_English	R/T vol.2 3857: PGmc *gastiz > WS OE giest				guest	*gástiz	108
1614	ɡ a s t	*gástiz	ɡ a s t ( - - )	ɡast	Gast	443	German					guest	*gástiz	108
1005	h aː ɣ ə l	*xáglą	h aː ɣ ə l ( - - )	haːɣəl	hagel	275	Dutch					hail	*xáglą	109
1004	h eɪ l	*xáglą	h eɪ - - l ( - - )	heɪl	hail	275	English					hail	*xáglą	109
2050	h æ ġ l	*xáglą	h eɪ - - l ( - - )	heɪl	hæġl	275	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			hail	*xáglą	109
1003	h aː ɡ ə l	*xáglą	h aː ɡ ə l ( - - )	haːɡəl	Hagel	275	German					hail	*xáglą	109
1344	h aː r	*xázwaz	h aː r ( - - - )	haːr	haar	368	Dutch					hair	*xázwaz	110
1343	h ɛə	*xázwaz	h ɛə r ( - - - )	hɛə	hair	368	English					hair	*xázwaz	110
2051	h ǣ r	*xērą	h ɛə r ( - - - )	hæːr	hǣr	368	Old_English	Wiktionary: PGmc *hērą > OE hǣr; *xazwăz 'grey' is wrong lexeme				hair	*xērą	110
1342	h aː r	*xázwaz	h aː r ( - - - )	haːr	Haar	368	German					hair	*xázwaz	110
1783	h ɑ l	*xallō	h ɑ l -	hɑl	hal	488	Dutch					hall	*xallō	111
1782	h ɔː l	*xallō	h ɔː l -	hɔːl	hall	488	English					hall	*xallō	111
2052	h e a l l	*xállō	h ɔː l -	hɔːl	heall	488	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			hall	*xallō	111
1781	h a l ə	*xallō	h a l ə	halə	Halle	488	German					hall	*xallō	111
438	h aː m ə r	*xámaraz	h aː m ə r ( - - )	haːmər	hamer	120	Dutch					hammer	*xámaraz	112
437	h æ m ə	*xámaraz	h æ m ə r ( - - )	hæmə	hammer	120	English					hammer	*xámaraz	112
2053	h a m e r e s	*xámaras	h æ m ə r ( - - )	hæmər	hameres	120	Old_English	Note: using gen.sg. *xamaras (> hameres). Both hamor and hamer attested; hameres is the regular reflex via a-fronting (R/T §5.1.2, §6.9.6). hamores has unexplained -o- in unstressed syllable (R/T §3.1.5).	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)	 | Note: using gen.sg. *xamaras (> hameres)		hammer	*xámara	112
436	h a m ə r	*xámaraz	h a m ə r ( - - )	hamər	Hammer	120	German					hammer	*xámaraz	112
394	h ɑ n t	*xánduz	h ɑ n t ( - - )	hɑnt	hand	108	Dutch					hand	*xánduz	113
393	h æ n d	*xánduz	h æ n d ( - - )	hænd	hand	108	English					hand	*xánduz	113
2054	h a n d	*xánduz	h æ n d ( - - )	hɒnd	hand	108	Old_English		Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			hand	*xánduz	113
392	h a n t	*xánduz	h a n d ( - - )	hant	Hand	108	German					hand	*xánduz	113
532	h ɑ n d ə l ə	*xandlōjaną	h ɑ n d ə l ( ə - - - - - )	hɑndələ	handelen	145	Dutch					handle	*xandlōjaną	114
531	h æ n d ə l	*xandlōjaną	h æ n d ə l ( - - - - - - )	hændḷ	handle	145	English					handle	*xandlōjaną	114
2055	h a n d l i a n	*xándlōjaną	h a n d l i a n ( - - - - - )	hɑndliɑn	handlian	145	Old_English	Du handelen / G handeln are the verb.	TSV fix: was handle (noun f.); changed to handlian (verb 'to handle' < *handulōną, Kroonen/Wiktionary).			handle	*xandlōjaną	114
530	h a n d ə l n	*xandlōjaną	h a n d ə l ( - n - - - - )	handəln	handeln	145	German					handle	*xandlōjaną	114
452	h ɑː m	*xármaz	h ɑː - m ( - - )	hɑːm	harm	124	English					harm	*xármaz	340
2056	h e a r m	*xármaz	h ɑː - m ( - - )	hɑːm	hearm	124	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			harm	*xármaz	340
451	h a r m	*xármaz	h a r m ( - - )	harm	Harm	124	German					harm	*xármaz	340
1531	h ɛ r f s t	*xárbistuz	h ɛ r f - s t ( - - )	hɛrfst	herfst	419	Dutch					harvest	*xárbistuz	115
1530	h ɑː v ɪ s t	*xárbistuz	h ɑː - v ɪ s t ( - - )	hɑːvɪst	harvest	419	English					harvest	*xárbistuz	115
2057	h ie r f e s t	*xárbistuz	h ɑː - v ɪ s t ( - - )	hɑːvɪst	hierfest	419	Old_English	R/T 14594-14603: hærfest is Anglian loan (Bammesberger 1997); WS hierfest attested (Toller); regular PGmc *harbistuz > WS hierfest via AFB+breaking+i-umlaut				harvest	*xárbistuz	115
1529	h ɛ r p s t	*xárbistuz	h ɛ r p - s t ( - - )	hɛrpst	Herbst	419	German					harvest	*xárbistuz	115
1337	h ɛ b ə	*xabēną	h ɛ b ə - ( - - )	hɛbə	hebben	366	Dutch					have	*xabēną	116
1336	h æ v	*xabēną	h æ v - - ( - - )	hæv	have	366	English					have	*xabēną	116
2058	h æ f e þ	*xábēθi	h æ v - - ( - - )	hæv	hæfeþ	366	Old_English	3sg pres. indic. (lautgesetzlich); inf. habban is analogical (umlaut leveled, Fulk §12.47)				have	*xabēną	116
1335	h aː b ə n	*xabēną	h aː b ə n ( - - )	haːbən	haben	366	German					have	*xabēną	116
756	h aː x	*xagô	h aː x ( - - )	haːx	haag	207	Dutch					haw	*xagô	117
755	h ɔː	*xagô	h ɔː - ( - - )	hɔː	haw	207	English					haw	*xagô	117
2059	h a g a	*xágô	h ɔː - ( - - )	hɔː	haga	207	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			haw	*xagô	117
754	h aː k	*xagô	h aː k ( - - )	haːk	Hag	207	German					haw	*xagô	117
1797	h aː v ɪ k	*xábukaz	h aː v ɪ k ( - - )	haːvɪk	havik	492	Dutch					hawk	*xábukaz	118
1796	h ɔː k	*xábukaz	h ɔː - - k ( - - )	hɔːk	hawk	492	English					hawk	*xábukaz	118
2060	h a f o c	*xábukaz	h ɔː - - k ( - - )	hɔːk	hafoc	492	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			hawk	*xábukaz	118
1795	h aː b ɪ x t	*xábukaz	h aː b ɪ x ( - t )	haːbɪxt	Habicht	492	German					hawk	*xábukaz	118
811	h oː j	*xáwwją	h oː - ( j - - )	hoːj	hooi	222	Dutch					hay	*xáwwją	119
810	h eɪ	*xáwwją	h eɪ - ( - - - )	heɪ	hay	222	English					hay	*xáwwją	119
2061	h ī e ġ	*xáwwją	h eɪ - ( - - - )	heɪ	hīeġ	222	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			hay	*xáwwją	119
809	h ɔy	*xáwwją	h ɔy - ( - - - )	hɔy	Heu	222	German					hay	*xáwwją	119
491	h aː z ə l aː r	*xáslaz	h aː z ə l ( aː r )	haːzəlaːr	hazelaar	134	Dutch					hazel	*xáslaz	120
490	h eɪ z ə l	*xáslaz	h eɪ z ə l ( - - )	heɪzḷ	hazel	134	English					hazel	*xáslaz	120
2062	h æ s l	*xáslaz	h eɪ z ə l ( - - )	heɪzḷ	hæsl	134	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			hazel	*xáslaz	120
489	h aː z ə l	*xáslaz	h aː z ə l ( - - )	haːzəl	Hasel	134	German					hazel	*xáslaz	120
254	h oː f t	*xáubudą	h oː f ( - ) t ( - - )	hoːft	hoofd	70	Dutch					head	*xáubudą	121
253	h ɛ d	*xáubudą	h ɛ - ( - ) d ( - - )	hɛd	head	70	English					head	*xáubudą	121
2063	h ē a f o d	*xáubudą	h ɛ - ( - ) d ( - - )	ˈhæːɑ̯vod	hēafod	70	Old_English		Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			head	*xáubudą	121
252	h au p t	*xáubudą	h au p ( - ) t ( - - )	haupt	Haupt	70	German					head	*xáubudą	121
189	h eː l ə	*xáilijaną	h eː l - ə - ( - - )	heːlə	helen	53	Dutch					heal	*xáilijaną	122
188	h iː l	*xáilijaną	h iː l - - - ( - - )	hiːl	heal	53	English					heal	*xáilijaną	122
2064	h ǣ l a n	*xáilijaną	h iː l - - - ( - - )	hiːl	hǣlan	53	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			heal	*xáilijaną	122
187	h ai l ə n	*xáilijaną	h ai l - ə n ( - - )	hailən	heilen	53	German					heal	*xáilijaną	122
114	h ɑ r t	*xertōn	h ɑ r t ( - - )	hɑrt	hart	32	Dutch					heart	*xertōn	123
113	h ɑː t	*xertōn	h ɑː - t ( - - )	hɑːt	heart	32	English					heart	*xertōn	123
2065	h e o r t e	*xértōn	h ɑː - t ( - - )	ˈheo̯rˠte	heorte	32	Old_English		Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			heart	*xertōn	123
112	h ɛ r ts	*xertōn	h ɛ r ts ( - - )	hɛrt͡s	Herz	32	German					heart	*xertōn	123
1512	h aː r t	*xérθaz	h aː r t ( - - )	haːrt	haard	414	Dutch					hearth	*xérθaz	124
1511	h ɑː θ	*xérθaz	h ɑː - θ ( - - )	hɑːθ	hearth	414	English					hearth	*xérθaz	124
2066	h e o r þ	*xérθaz	h ɑː - θ ( - - )	hɑːθ	heorþ	414	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			hearth	*xérθaz	124
1510	h eː r t	*xérθaz	h eː r d ( - - )	heːrt	Herd	414	German					hearth	*xérθaz	124
567	h iː θ	*xáiθiz	h iː θ - ( - )	hiːθ	heath	155	English					heath	*xáiθiz	341
2067	h ǣ þ	*xáiθiz	h iː θ - ( - )	hiːθ	hǣþ	155	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			heath	*xáiθiz	341
566	h ai d ə	*xáiθiz	h ai d ə ( - )	haidə	Heide	155	German					heath	*xáiθiz	341
1074	h eː m ə l	*xémenaz	h eː m ə ( l - - )	heːməl	hemel	294	Dutch					heaven	*xémenaz	125
1073	h ɛ v ə n	*xémenaz	h ɛ v ə ( n - - )	hɛvṇ	heaven	294	English					heaven	*xémenaz	125
2068	h e o f o n	*xémonų	h ɛ v ə ( n - - )	hɛvṇ	heofon	294	Old_English	PGmc mn-stem acc.sg. *xemonų (Kroonen p.220, Fulk §6.14). Derives via: o-raising (*o→*u before *ų), mn-dissimilation (*m→*β), back umlaut (*e→*eo), trisyllabic apocope (*ų→Ø).				heaven	*xémenaz	125
1072	h ɪ m ə l	*xémenaz	h ɪ m ə ( l - - )	hɪməl	Himmel	294	German					heaven	*xémenaz	125
386	h ɛ x	*xágjaz	h ɛ x - ( - - )	hɛx	heg	106	Dutch					hedge	*xágjaz	126
385	h ɛ ʤ	*xágjaz	h ɛ ʤ - ( - - )	hɛʤ	hedge	106	English					hedge	*xágjaz	126
2069	h e ġ ġ	*xágjaz	h ɛ ʤ - ( - - )	hɛʤ	heġġ	106	Old_English	Note: heċġ is the more standard spelling; using heġġ here	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			hedge	*xágjaz	126
384	h ɛ k ə	*xágjaz	h ɛ k - ( ə - )	hɛkə	Hecke	106	German					hedge	*xágjaz	126
633	h ɛ l m	*xélmaz	h ɛ l m ( - - )	hɛlm	helm	174	Dutch					helm	*xélmaz	127
632	h ɛ l m	*xélmaz	h ɛ l m ( - - )	hɛlm	helm	174	English					helm	*xélmaz	127
2070	h e l m	*xélmaz	h ɛ l m ( - - )	hɛlm	helm	174	Old_English	Kroonen *helma- m. 'helmet' → OE helm m.; helma is not nom.sg.				helm	*xélmaz	127
631	h ɛ l m	*xélmaz	h ɛ l m ( - - )	hɛlm	Helm	174	German					helm	*xélmaz	127
1446	h ɛ l p ə	*xélpaną	h ɛ l p ə - ( - - )	hɛlpə	helpen	395	Dutch					help	*xélpaną	128
479	h ʉ l p	*xelpō	h ʉ l p -	hʉlp	hulp	131	Dutch					help	*xelpō	128
1445	h ɛ l p	*xélpaną	h ɛ l p - - ( - - )	hɛlp	help	395	English					help	*xélpaną	128
2071	h e l p a n	*xélpaną	h ɛ l p - - ( - - )	hɛlp	helpan	395	Old_English	OE target: help→helpan (inf. of str.v. class III; noun 'help' is in *xelpō row)				help	*xélpaną	128
478	h ɛ l p	*xelpō	h ɛ l p -	hɛlp	help	131	English					help	*xelpō	128
2072	h e l p	*xélpō	h ɛ l p -	hɛlp	help	131	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			help	*xelpō	128
1444	h ɛ l f ə n	*xélpaną	h ɛ l f ə n ( - - )	hɛlfən	helfen	395	German					help	*xélpaną	128
477	h ɪ l f ə	*xelpō	h ɪ l f ə	hɪlfə	Hilfe	131	German					help	*xelpō	128
345	h ɜː d	*xerdō	h ɜː - d ( - )	hɜːd	herd	95	English					herd	*xerdō	342
2073	h e o r d	*xérdō	h ɜː - d ( - )	hɜːd	heord	95	Old_English		TSV fix: was 'hierd' (herdsman) but *xerdō 'herd' (noun) > heord (R/T p.182); hierde 'herdsman' < *hirdijaz (R/T p.248)			herd	*xerdō	342
344	h eː r d ə	*xerdō	h eː r t ( ə )	heːrdə	Herde	95	German	BOR				herd	*xerdō	342
93	h ɑu ʋ ə	*xáwwaną	h - ɑu ʋ ə - ( - - )	hɑuʋə	houwen	26	Dutch					hew	*xáwwaną	129
92	h j uː	*xáwwaną	h j uː - - - ( - - )	hjuː	hew	26	English					hew	*xáwwaną	129
2074	h ē a w a n	*xáwwaną	h j uː - - - ( - - )	hjuː	hēawan	26	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			hew	*xáwwaną	129
91	h au ə n	*xáwwaną	h - au - ə n ( - - )	hauən	hauen	26	German					hew	*xáwwaną	129
487	h ɪ n d ə	*xendjō	h ɪ n d - ə	hɪndə	hinde	133	Dutch					hind	*xendjō	130
486	h aɪ n d	*xendjō	h aɪ n d - -	haɪnd	hind	133	English					hind	*xendjō	130
2075	h i n d	*xéndjō	h aɪ n d - -	haɪnd	hind	133	Old_English	Kroonen *hindō- f. 'hind (deer)' → OE hind f.; hindan 'from behind' is wrong lexeme				hind	*xendjō	130
485	h ɪ n d ə	*xendjō	h ɪ n d - ə	hɪndə	Hinde	133	German					hind	*xendjō	130
597	h ɔː d	*xúzdą	h ɔː - d ( - - )	hɔːd	hoard	164	English					hoard	*xúzdą	343
2076	h o r d	*xúzdą	h ɔː - d ( - - )	hɔːd	hord	164	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			hoard	*xúzdą	343
596	h ɔ r t	*xúzdą	h ɔ r t ( - - )	hɔrt	Hort	164	German					hoard	*xúzdą	343
1251	h ɑu d ə	*xáldaną	h ɑu - d ə - ( - - )	hɑudə	houden	343	Dutch					hold	*xáldaną	131
1250	h əʊ l d	*xáldaną	h əʊ l d - - ( - - )	həʊld	hold	343	English					hold	*xáldaną	131
2077	h e a l d a n	*xáldaną	h əʊ l d - - ( - - )	həʊld	healdan	343	Old_English	R/T vol.2 10729: PGmc *haldaną > WS OE healdan (with breaking)				hold	*xáldaną	131
1249	h a l t ə n	*xáldaną	h a l t ə n ( - - )	haltən	halten	343	German					hold	*xáldaną	131
