ID	TOKENS	PROTOFORM	ALIGNMENT	IPA	COUNTERPART	COGIDS	DOCULECT	NOTE	HISTORY	STRUCTURE	BORROWING	CONCEPT	PROTO	GLOSSID
266	x ə l oː v ə	*galáubijaną	( x ə ) l oː v - ə - ( - - )	xəloːvə	geloven	73	Dutch	Proto: *laubjăną → *galaubijăną (ga- prefix set: Du. geloven, G glauben, OE ġelīefan)				believe	*galáubijaną	12
265				bɪliːv		73	English	Out-of-set: ME believe < OE belīefan (be- prefixed *bilaubijan), distinct from ge-/ga- formation				believe	*galáubijaną	12
1944	ġ e l ī e f a n	*galáubijaną	( b ɪ ) l iː v - - - ( - - )	bɪliːv	ġelīefan	73	Old_English		TSV: belīefan → ġelīefan (WS ge- formation; cf. Du. geloven, G glauben)			believe	*galáubijaną	12
264	ɡ l au b ə n	*galáubijaną	( ɡ - ) l au b - ə n ( - - )	ɡlaubən	glauben	73	German	Proto: *laubjăną → *galaubijăną (ga- prefix set)				believe	*galáubijaną	12
1688	b ɑ l x	*bálgiz	b ɑ l x ( - - )	bɑlx	balg	462	Dutch					belly	*bálgiz	13
1687	b ɛ l ɪ	*bálgiz	b ɛ l ɪ ( - - )	bɛlɪ	belly	462	English					belly	*bálgiz	13
1945	b i e l ġ	*bálgiz	b ɛ l ɪ ( - - )	wɒmb	bielġ	462	Old_English		Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			belly	*bálgiz	13
1686	b a l k	*bálgiz	b a l k ( - - )	balk	Balg	462	German			C V C C		belly	*bálgiz	13
262	b ɛ s	*bázją	b ɛ s - ( - - )	bɛs	bes	72	Dutch					berry	*bázją	14
261	b ɛ r ɪ	*bázją	b ɛ r - ( ɪ - )	bɛrɪ	berry	72	English					berry	*bázją	14
1946	b e r ġ e s	*bázjas	b e r ġ ( e s )	berġes	berġes	72	Old_English	Note: using gen.sg. *bazjas (> berġes); R/T vol.2 §6.8.2: *rj did not geminate in PWGmc	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			berry	*bázją	14
260	b eː r ə	*bázją	b eː r - ( ə - )	beːrə	Beere	72	German					berry	*bázją	14
546	b iː d ə	*béudaną	b iː d ə - ( - - )	biːdə	bieden	149	Dutch					bid	*béudaną	15
1453	b ɪ d ə	*bídjaną	b ɪ d - ə - ( - - )	bɪdə	bidden	397	Dutch					bid	*bídjaną	15
545	b ɪ d	*béudaną	b ɪ d - - ( - - )	bɪd	bid	149	English					bid	*béudaną	15
1947	b ɪ d	*béudaną	b ɪ d - - ( - - )	bɪd	-	149	Old_English		Source: Wiktionary etymology (template:der) | Source: Wiktionary etymology (template:der)			bid	*béudaną	15
1452	b ɪ d	*bídjaną	b ɪ d - - - ( - - )	bɪd	bid	397	English					bid	*bídjaną	15
1948	b ɪ d	*bídjaną	b ɪ d - - - ( - - )	bɪd	-	397	Old_English		Source: Wiktionary etymology (template:der) | Source: Wiktionary etymology (template:der)			bid	*bídjaną	15
544	b iː t ə n	*béudaną	b iː t ə n ( - - )	biːtən	bieten	149	German					bid	*béudaną	15
1451	b ɪ t ə n	*bídjaną	b ɪ t - ə n ( - - )	bɪtən	bitten	397	German					bid	*bídjaną	15
472	b aː r	*barwōn	b aː r ( - - - )	baːr	baar	129	Dutch					bier	*barwōn	16
471	b ɪə	*barwōn	b ɪə r ( - - - )	bɪə	bier	129	English					bier	*barwōn	16
1949	b ǣ r	*bērō	b ɪə r ( - - - )	bɪə	bǣr	129	Old_English	Wiktionary: PGmc *bērō > OE bēr/bǣr (bier); *barwōn is wrong lexeme				bier	*bērō	16
470	b aː r ə	*barwōn	b aː r ( - ə - )	baːrə	Bahre	129	German			C V C		bier	*barwōn	16
584	b ɪ n d ə	*bíndaną	b ɪ n d ə - ( - - )	bɪndə	binden	160	Dutch					bind	*bíndaną	17
583	b aɪ n d	*bíndaną	b aɪ n d - - ( - - )	baɪnd	bind	160	English					bind	*bíndaną	17
1950	b i n d a n	*bíndaną	b aɪ n d - - ( - - )	baɪnd	bindan	160	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bind	*bíndaną	17
582	b ɪ n d ə n	*bíndaną	b ɪ n d ə n ( - - )	bɪndən	binden	160	German					bind	*bíndaną	17
390	x ə b oː r t ə	*búrdiz	( x ə ) b oː r t ( ə - )	xəboːrtə	geboorte	107	Dutch					birth	*búrdiz	18
