language	variety	form	display	sort_key	form_role	source_scope	source_ref	occurrence_id	origin	status
oe		bān	bān	ban	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:21	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:21:3	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md	auto
oe		bān	bān	ban	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:25	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:25:1	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md	auto
oe		bān	bān	ban	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:25	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:25:2	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md	auto
oe		bān	bān	ban	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:33	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:33:1	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md	auto
oe		bān	bān	ban	target_form	lexical_heading	bone — OE bān	heading:ac842636e66927	manifest	auto
oe		bāne	bāne	bane	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:25	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:25:3	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md	auto
oe		bannes	bannes	bannes	target_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:34	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:34:1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md	auto
oe		bannes	bannes	bannes	target_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:41	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:41:1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md	auto
oe		bannes	bannes	bannes	target_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:53	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:53:2	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md	auto
oe		bannes	bannes	bannes	target_form	lexical_heading	ban — OE bannes	heading:74a46f0b74dd0e	manifest	auto
oe		bar	bar	bar	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:21	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:21:2	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md	auto
oe		bar	bar	bar	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:25	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:25:2	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md	auto
oe		bar	bar	bar	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:29	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:29:2	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md	auto
oe		bēag	bēag	beag	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:30	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:30:1	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md	auto
oe		bēag	bēag	beag	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:36	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:36:1	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md	auto
