global_order	class_order	row_id	lexical_item	counterpart	proto	proto_stage	protoform	protoform_stage	protoform_variety	derivation_class	class_bucket	section_title	model_entry_path	trace_match_status	trace_match_basis	notes
147	1	1973	buck	bucc	*búkkaz	pgmc	*búkkaz	pgmc		unexplained_unmodelled	unexplained_unmodelled	Unexplained or deliberately unmodelled exceptions	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED	
148	2	2030	fowl	fugol	*fúglaz	pgmc	*fúglaz	pgmc		unexplained_unmodelled	unexplained_unmodelled	Unexplained or deliberately unmodelled exceptions	Germanic/docs/lexeme_reports/model_entries/2030-fowl-fugol.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED	
149	3	2162	rust	rust	*rústō	pgmc	*rústō	pgmc		unexplained_unmodelled	unexplained_unmodelled	Unexplained or deliberately unmodelled exceptions	Germanic/docs/lexeme_reports/model_entries/2162-rust-rust.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED	
150	4	2298	wolf	wulf	*wúlfaz	pgmc	*wúlfaz	pgmc		unexplained_unmodelled	unexplained_unmodelled	Unexplained or deliberately unmodelled exceptions	Germanic/docs/lexeme_reports/model_entries/2298-wolf-wulf.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED	
151	5	2300	wool	wull	*wúllō	pgmc	*wúllō	pgmc		unexplained_unmodelled	unexplained_unmodelled	Unexplained or deliberately unmodelled exceptions	Germanic/docs/lexeme_reports/model_entries/2300-wool-wull.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED	
