global_order	class_order	row_id	lexical_item	counterpart	proto	proto_stage	protoform	protoform_stage	protoform_variety	derivation_class	class_bucket	section_title	model_entry_path	trace_match_status	trace_match_basis	notes
75	1	1983	cud	cwedu	*kwíθuz	pgmc	*kwéðuz	pgmc		attested_variant	attested_variant	Attested variants and selected comparison forms	Germanic/docs/lexeme_reports/model_entries/1983-cud-cwedu.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
76	2	2242	ten	tēon	*téxun	pgmc	*téxun	pgmc		attested_variant	attested_variant	Attested variants and selected comparison forms	Germanic/docs/lexeme_reports/model_entries/2242-ten-tēon.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
77	3	2254	three	þrīe	*θréjez	pgmc	*θréjez	pgmc		attested_variant	attested_variant	Attested variants and selected comparison forms	Germanic/docs/lexeme_reports/model_entries/2254-three-þrīe.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
78	4	2273	wasp	wæfs	*wábsaz	pgmc	*wábsaz	pgmc		attested_variant	attested_variant	Attested variants and selected comparison forms	Germanic/docs/lexeme_reports/model_entries/2273-wasp-wæfs.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
